source_id,jurisdiction,agency_name,site_url,css_selector
alabama-0,Alabama,Alabama Source 0,https://www.gsa.state.al.us/ogb,body
alabama-1,Alabama,Alabama Source 1,https://www.gsa.state.al.us/ogb/wells,body
alabama-2,Alabama,Alabama Source 2,https://adem.alabama.gov/air/air-permitting,body
alabama-3,Alabama,Alabama Source 3,https://adem.alabama.gov/air,body
alabama-4,Alabama,Alabama Source 4,https://adem.alabama.gov/water/npdes-programs/npdes-permits,body
alabama-5,Alabama,Alabama Source 5,https://adem.alabama.gov/water/npdes-programs/construction-general-permit,body
alabama-6,Alabama,Alabama Source 6,https://www.epa.gov/npdes-permits/alabama-npdes-permits,body
alabama-7,Alabama,Alabama Source 7,https://psc.alabama.gov/gas-pipeline-safety/,body
alabama-8,Alabama,Alabama Source 8,https://apsc.alabama.gov/Energy/GPS/gas_pipeline_safety_section.htm,body
alabama-9,Alabama,Alabama Source 9,https://www.jcdh.org/SitePages/Misc/TitleVAirPermits.aspx,body
alabama-10,Alabama,Alabama Source 10,https://www.jcdh.org/SitePages/Programs-Services/EnvironmentalHealth/Air-RadiationProtectionDivision/RegAirFac.aspx,body
alabama-11,Alabama,Alabama Source 11,https://www.huntsvilleal.gov/environment/air-quality/air-quality-permits/,body
alabama-12,Alabama,Alabama Source 12,https://www.huntsvilleal.gov/environment/air-quality/air-quality-permits/air-permit/,body
alabama-13,Alabama,Alabama Source 13,https://www.huntsvilleal.gov/business/licensing-permits/environment-licenses/air-permits/,body
alaska-0,Alaska,Alaska Source 0,https://www.commerce.alaska.gov/web/aogcc/,body
alaska-1,Alaska,Alaska Source 1,https://dog.dnr.alaska.gov/,body
alaska-2,Alaska,Alaska Source 2,https://dog.dnr.alaska.gov/LeaseSale,body
alaska-3,Alaska,Alaska Source 3,https://dec.alaska.gov/air/air-permit/,body
alaska-4,Alaska,Alaska Source 4,https://dec.alaska.gov/water/wastewater/,body
alaska-5,Alaska,Alaska Source 5,https://www.epa.gov/npdes-permits/alaska-npdes-permits,body
alaska-6,Alaska,Alaska Source 6,https://dec.alaska.gov/spar/ppr/contingency-plans/,body
alaska-7,Alaska,Alaska Source 7,https://rca.alaska.gov/RCAWeb/home.aspx,body
arizona-0,Arizona,Arizona Source 0,https://azogcc.az.gov/,body
arizona-1,Arizona,Arizona Source 1,https://azogcc.az.gov/permits,body
arizona-2,Arizona,Arizona Source 2,https://azcc.gov/safety/pipeline-safety/pipeline,body
arizona-3,Arizona,Arizona Source 3,https://azdeq.gov/air-permits-comp,body
arizona-4,Arizona,Arizona Source 4,https://azdeq.gov/permits/AZPDES/IND,body
arizona-5,Arizona,Arizona Source 5,https://azdeq.gov/SWPPermitting,body
arizona-6,Arizona,Arizona Source 6,https://land.az.gov/applications-permits,body
arizona-7,Arizona,Arizona Source 7,https://www.maricopa.gov/1818/Permits-Forms-and-Payments,body
arizona-8,Arizona,Arizona Source 8,https://www.pima.gov/439/Air-Quality-Permits,body
arizona-9,Arizona,Arizona Source 9,https://www.pinal.gov/1255/Permitting,body
arkansas-0,Arkansas,Arkansas Source 0,https://ee.arkansas.gov/energy/oil-gas-commission/,body
arkansas-1,Arkansas,Arkansas Source 1,https://www.aogc.state.ar.us/,body
arkansas-2,Arkansas,Arkansas Source 2,https://www.adeq.state.ar.us/air/permits/,body
arkansas-3,Arkansas,Arkansas Source 3,https://ee.arkansas.gov/environment/office-of-air-quality/,body
arkansas-4,Arkansas,Arkansas Source 4,https://www.adeq.state.ar.us/water/permits/npdes/,body
arkansas-5,Arkansas,Arkansas Source 5,https://www.epa.gov/npdes-permits/arkansas-npdes-permits,body
arkansas-6,Arkansas,Arkansas Source 6,https://apsc.arkansas.gov/utilities/pipeline-safety/,body
california-0,California,California Source 0,https://www.conservation.ca.gov/calgem,body
california-1,California,California Source 1,https://www.energy.ca.gov,body
california-2,California,California Source 2,https://www.cpuc.ca.gov,body
california-3,California,California Source 3,https://ww2.arb.ca.gov,body
california-4,California,California Source 4,https://calepa.ca.gov,body
california-5,California,California Source 5,https://www.slc.ca.gov/oil-gas,body
california-6,California,California Source 6,https://www.dir.ca.gov/dosh/,body
california-7,California,California Source 7,https://www.waterboards.ca.gov,body
california-8,California,California Source 8,https://osfm.fire.ca.gov/divisions/pipeline-safety-division/,body
california-9,California,California Source 9,http://www.aqmd.gov,body
california-10,California,California Source 10,https://www.baaqmd.gov,body
california-11,California,California Source 11,https://www.valleyair.org,body
california-12,California,California Source 12,http://www.airquality.org,body
california-13,California,California Source 13,https://www.sdapcd.org,body
california-14,California,California Source 14,https://www.vcapcd.org,body
california-15,California,California Source 15,https://www.ourair.org,body
california-16,California,California Source 16,https://www.mbard.org,body
california-17,California,California Source 17,https://www.mdaqmd.ca.gov,body
california-18,California,California Source 18,https://osfm.fire.ca.gov/what-we-do/code-development-and-analysis,body
california-19,California,California Source 19,https://www.dgs.ca.gov/-/media/Divisions/BSC/03-Rulemaking/2024-Triennial-Cycle/CAC/2024-07-09-BFO/SFM-06-24-ISOR-PT9.pdf,body
california-20,California,California Source 20,https://codes.iccsafe.org/content/CAFC2022P3/chapter-1-scope-and-administration,body
colorado-0,Colorado,Colorado Source 0,https://ecmc.state.co.us,body
colorado-1,Colorado,Colorado Source 1,https://cdphe.colorado.gov/apens-and-air-permits,body
colorado-2,Colorado,Colorado Source 2,https://cdphe.colorado.gov/water-quality,body
colorado-3,Colorado,Colorado Source 3,https://puc.colorado.gov,body
colorado-4,Colorado,Colorado Source 4,https://slb.colorado.gov/lease/oil-gas,body
connecticut-0,Connecticut,Connecticut Source 0,https://portal.ct.gov/PURA/Gas-Pipeline-Safety/Gas-Pipeline-Safety,body
connecticut-1,Connecticut,Connecticut Source 1,https://portal.ct.gov/deep/air/permits/air-permits,body
connecticut-2,Connecticut,Connecticut Source 2,https://portal.ct.gov/DEEP/Air/Permits/Title-V-Operating-Permit-Program,body
connecticut-3,Connecticut,Connecticut Source 3,https://portal.ct.gov/DEEP/Air/Permits/Air-Permitting-Assistance,body
connecticut-4,Connecticut,Connecticut Source 4,https://portal.ct.gov/deep/permits-and-licenses/water-discharge-permits-and-general-permits,body
connecticut-5,Connecticut,Connecticut Source 5,https://portal.ct.gov/DEEP/Permits-and-Licenses/Factsheets-Water-Discharges/Wastewater-Discharges-Fact-Sheet,body
connecticut-6,Connecticut,Connecticut Source 6,https://www.epa.gov/npdes-permits/connecticut-npdes-permits,body
connecticut-7,Connecticut,Connecticut Source 7,https://filings.deep.ct.gov/DEEPPortal/PublicSearch/PSSearchView,body
delaware-0,Delaware,Delaware Source 0,https://depsc.delaware.gov/pipeline-safety-program/,body
delaware-1,Delaware,Delaware Source 1,https://dnrec.delaware.gov/air/permitting/,body
delaware-2,Delaware,Delaware Source 2,https://dnrec.delaware.gov/air/permitting/major-air-sources/,body
delaware-3,Delaware,Delaware Source 3,https://www.epa.gov/caa-permitting/caa-permitting-delaware,body
delaware-4,Delaware,Delaware Source 4,https://dnrec.delaware.gov/water/commercial-government/npdes/,body
delaware-5,Delaware,Delaware Source 5,https://www.epa.gov/npdes-permits/delaware-npdes-permits,body
delaware-6,Delaware,Delaware Source 6,https://dnrec.delaware.gov/coastal-programs/coastal-management/federal-consistency/,body
delaware-7,Delaware,Delaware Source 7,https://dnrec.delaware.gov/dnrec-public-notices/,body
delaware-8,Delaware,Delaware Source 8,https://den.dnrec.delaware.gov/,body
